address,beds,baths,sqft,lotAreaValue,log_price,Bathroom Information_# of Full Baths,Bathroom Information_# of Bathroom Fixtures,Heating & Cooling_Heating Type,Fireplace Information_# of Fireplaces,Fireplace Information_Fireplace Type,Exterior Information_Physical Condition,Exterior Information_Foundation Type,Exterior Information_Construction Type,Exterior Information_Exterior Wall,Exterior Information_Building Type,Property Information_Subdivision Name,Property Information_Living Sq. Ft,Property Information_Building Sq. Ft,Property Information_# of Stories,Property Information_Stories Type,Property Information_Legal Description,Parking & Garage Information_Parking Type,Parking & Garage Information_Garage/Parking Sq. Ft,Parking & Garage Information_Garage / Carport Type,Lot Information_# of Buildings,Lot Information_Land Sq. Ft,Lot Information_Legal Lot Number,Lot Information_School Tax District,Lot Information_Municipality Name,Lot Information_Acres,Lot Information_State Use Description,Assessor Information_Assessment Year,Assessor Information_Tax District County,Basement Information_Basement Type,Heating & Cooling_Heating Fuel Type,Room Information_# of Rooms,Exterior Information_Building Style Type,Property Information_Ground Floor Sq. Ft,Lot Information_Legal Block Number,Lot Information_Depth Footage,Lot Information_Front Footage,Lot Information_County Use Description,Utility Information_Electricity / Wiring Type,Basement Information_Basement Sq. Ft,Bathroom Information_# of 1/2 Baths,Heating & Cooling_Air Conditioning Type,Utility Information_Sewer Type,Utility Information_Water Service Type,Basement Information_Basement Finish,Exterior Information_Building Improvement Type,Parking & Garage Information_# of Parking Spaces,Lot Information_Zoning Code,Exterior Information_Roof Covering Type,Exterior Information_Roof Shape Type,Pool Information_Pool Type
"10789 Bentley Pass Ln, Loveland, OH 45140",4.0,3.0,3119.0,0.672979797979798,13.005829561148378,2,,,2,2 Openings,Average,Concrete Block,Brick,Frame/Masonry,,BENTLEY PASS SUB,"3,119","5,235",2,2,BENTLEYPASS LN 18.31 X 251.50 IR LOT 6 BENTLEY PASS SUB,Attached Brick Garage,484,Attached Brick,1,"29,316",6,,SYMMES TOWNSHIP,0.673,SINGLE FAMILY,2022,,Partial,Gas,10,Conventional,"1,707",,251.5,18.31,RESID-SINGLE FAMILY,Connected,"1,632",1,Central,,,,,2,A,,,
"438 Main St, Loveland, OH 45140",3.0,2.0,1632.0,0.169,12.820987977820545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1633 Lindenhall Dr, Loveland, OH 45140",3.0,2.0,1508.0,0.24,12.502466658583977,1,,,1,,Average,Concrete Block,Brick,Frame/Masonry,,FOXMEADOW FARMS SUB,"1,508","1,988",2,2,COR LEBANON RD &amp; LINDENHALL DR84 X 125 IRR LOT 2 FOXMEADOW FARMS SUB,Attached Garage,480,Attached,1,"10,454",2,,LOVELAND CITY,0.24,SINGLE FAMILY,2022,,Finished,Gas,5,Bi-Level,480,,125,84,RESID-SINGLE FAMILY,Connected,,1,Central,,,,,2,,,,
"9280 Carriage Run Cir, Loveland, OH 45140",3.0,2.5,1831.0,0.1376951331496786,12.818551923022664,2,10,Forced Air,1,1 Opening,Very Good,Concrete,Frame,Aluminum/Vinyl,Single Family,VILLHERITAGE GRNA,"1,831","2,231",1,1,HERITAGE GREEN BLK A #62,Attached Garage,400,Attached,1,"5,998",62,LOVELAND CITY,DEERFIELD TWP,0.1377,SINGLE FAMILY DWELLING,2022,KINGS LSD,Full,,,,,A,,,,,,1,,,,Finished,,,,,,
"308 Indianview Dr, Loveland, OH 45140",3.0,2.0,1266.0,0.75,12.971540487669746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6109 Southern Hills Dr, Loveland, OH 45140",4.0,4.0,3750.0,0.18999081726354453,12.971540487669746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"112 Mission Ct, Loveland, OH 45140",4.0,4.5,4412.0,0.4,13.811502536566735,3,13,Central,1,Prefab,Average,,,Brick,Residential,RESERVE OF LOVELAND,"4,412","4,800",2,,RESERVE OF LOVELAND LOT 19,Masonry/Brick Garage,890,Masonry/Brick,1,"44,562",19,,LOVELAND CITY,1.023,SINGLE FAMILY,2022,,Full,,8,Colonial,"1,991",,,,,,388,1,Central,Public,Public,,,,,,,
"148 Glen Lake Rd, Loveland, OH 45140",3.0,3.0,1758.0,0.3199954086317723,12.793859310432293,3,,,1,,Fair,Concrete Block,Brick,Brick,,GLEN LAKE COMMUNITY SUB,"3,163","3,991",1,1,GLEN LAKE RD 68.02 X 191.60 IR LOT 170 GLEN LAKE COMMUNITY SUB BLK A,Attached Brick Garage,475,Attached Brick,1,"13,939",170,,LOVELAND CITY,0.32,SINGLE FAMILY,2022,,Full,Gas,7,Conventional,"1,758",A,191.6,68.02,RESID-SINGLE FAMILY,Connected,"1,758",,Central,,,,,2,,,,
"517 Lowell Ave, Loveland, OH 45140",3.0,1.5,1176.0,0.3169880624426079,12.765688433465597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3050 Abby Way, Loveland, OH 45140",4.0,3.0,2072.0,0.11999540863177227,12.47227568630483,2,8,Central,1,Prefab,Average,,,Aluminum/Vinyl,Residential,CAMERON CROSSING SEC 2,"2,022","2,022",2,,CAMERON CROSSING SECTION 2 LOT 115,Frame Garage,400,Frame,1,"5,140",115,,GOSHEN TWP,0.118,SINGLE FAMILY,2022,,,,6,Conventional,840,,,,,,,,Central,Public,Public,,,,,,,
"6088 Marsh Cir, Loveland, OH 45140",3.0,3.0,1706.0,0.038131313131313134,12.441144767709657,2,10,Central,1,Prefab,Average,,,Aluminum/Vinyl,Residential,WOODLAND STREAMS SEC 2,"1,706","1,706",2,,WOODLAND STREAMS SECTION 2 LOT 187,Frame Garage,380,Frame,1,"7,749",187,,GOSHEN TWP,0.1779,SINGLE FAMILY,2022,,,,7,Colonial,612,,,,,,,1,Central,Public,Public,,,,,,,
"5978 Marsh Cir, Loveland, OH 45140",3.0,3.0,1838.0,0.15399449035812673,12.428816116823043,2,10,Central,1,Prefab,Average,,,Aluminum/Vinyl,,WOODLAND STREAMS SEC 1,"1,838","1,838",2,,WOODLAND STREAMS SECTION 1 BLOCK B LOT 56,Frame Garage,374,Frame,1,"6,708",56,,GOSHEN TWP,0.154,SINGLE FAMILY,2022,,,,7,Colonial,704,B,,,,,,1,Central,Public,Public,,,,,,,
"185 Ramsey Ct, Loveland, OH 45140",4.0,5.0,3497.0,0.3299999999999999,13.37545400508649,2,10,Central,1,Prefab,Average,,,Brick,Residential,WHITE PILLARS SEC TWO,"3,497","3,515",2,,WHITE PILLARS SECTION TWO BLOCK A LOT 52,Masonry/Brick Garage,666,Masonry/Brick,1,"14,384",52,,LOVELAND CITY,0.3302,SINGLE FAMILY,2022,,Full,,8,Colonial,"1,616",A,,,,,18,1,Central,,,,,,,,,
"10863 Grog Run Rd, Loveland, OH 45140",3.0,2.0,1800.0,5.414692378328742,12.936033799212835,2,8,Forced Air,1,1 Opening,Average,Concrete,Frame,Log,Single Family,HAMILTON,"1,800","1,800",1,1,MS-4248 5.4147 AC.,,,,1,"235,864",,,HAMILTON TWP,5.4147,SGL FAM DWG 0-9.99 AC,2022,LITTLE MIAMI LSD,Partial,,,,,,,,,,,,,,,Partially Finished,,,,,,
"1236 Baywood Cv, Loveland, OH 45140",4.0,4.0,3176.0,0.331,13.180632285528304,2,10,Central,1,Prefab,Average,,,Frame/Masonry,Residential,PAXTON LAKES SEC 06,"5,556","6,024",2,,PAXTON LAKE SECTION 6 LOT 137,Masonry/Brick Garage,746,Masonry/Brick,1,"14,418",137,,MIAMI TWP,0.331,SINGLE FAMILY,2022,,Full,,9,Colonial,"1,354",,,,,,"2,638",1,Central,Public,Public,Finished,,,,,,
"100 Bares Creek Ct, Loveland, OH 45140",4.0,5.0,4573.0,1.095,13.58609739363647,4,16,Central,1,Prefab,Average,,,Brick,Residential,BLUFF AT BARES CREEK,"4,573","5,164",2,,BLUFF AT BARES CREEK LOT 1,Masonry/Brick Garage,774,Masonry/Brick,1,"47,724",1,,LOVELAND CITY,1.0956,SINGLE FAMILY,2022,,Full,,10,Colonial,"1,348",,,,,,"1,591",1,Central,Public,Public,Finished,,,,,,
"220 Seminole Dr, Loveland, OH 45140",3.0,1.0,1009.0,0.185,12.198544379109382,1,,,,,Good,Concrete,,Frame Siding,,LOVELAND HEIGHTS,"1,009","1,009",1,1,SEMINOLE DR 60 X 135.35 LOT 169 LOVELAND HGTS BLKB,Garage/Carport,300,,1,"8,059",169,,LOVELAND CITY,0.185,SINGLE FAMILY,2022,,Finished,Gas,6,Conventional,"1,009",B,135.35,60,RESID-SINGLE FAMILY,Connected,,,Central,,,,,1,,,,
"9568 Carroll Ct, Loveland, OH 45140",4.0,4.0,2016.0,0.2099862258953168,12.821258284620408,2,10,Forced Air,1,1 Opening,Very Good,Concrete,Frame,Aluminum/Vinyl,Single Family,WHITE PINES 7,"2,016","2,317",2,2,WHITE PINES 7 LOT# 171,,441,,1,"9,335",171,LOVELAND CITY,DEERFIELD TWP,0.2143,SINGLE FAMILY DWELLING,2022,KINGS LSD,Full,,,,,,,,,,,1,,,,Finished,,,,,,
"3387 Shadow Ridge Dr, Loveland, OH 45140",4.0,3.0,2402.0,0.6519,12.611537753638338,2,10,Forced Air,1,1 Opening,Very Good,Concrete,Frame/Masonry,,Single Family,PAULS POINTE 2,"2,402","2,886",1.5,1  1/2,PAUL'S POINTE 2 LOT# 22,Attached Garage,484,Attached,1,"28,398",22,LOVELAND CITY,DEERFIELD TWP,0.65,SINGLE FAMILY DWELLING,2022,KINGS LSD,Full,,,,,,,,,,,1,,,,Finished,,,,,,
"762 Wards Corner Rd, Loveland, OH 45140",3.0,2.0,2000.0,0.933,12.912876152537605,2,8,Central,1,Wood Stove,Average,,,Frame,Residential,WARDS CRK,"2,000","2,000",1,,WARDS CREEK LOT 29,Carport,576,Carport,1,"40,641",29,,MIAMI TWP,0.933,SINGLE FAMILY,2022,,Partial,Gas,7,Contemporary,"1,553",,,,,Available,,,Central,Public,Public,,,,,,,
"11310 Donwiddle Dr, Loveland, OH 45140",4.0,4.0,2317.0,0.3209825528007346,12.971540487669746,2,,,2,2 Openings,Good,Concrete Block,Brick,Frame/Masonry,,SYMMES TRACE SUB,"2,317","3,934",2,2,DONWIDDLE DR 80 X 175 IRR LOT 78 SYMMES TRACE SUB BL A PT 2,Attached Brick Garage,484,Attached Brick,1,"13,983",78,,SYMMES TOWNSHIP,0.321,SINGLE FAMILY,2022,,Partial,Gas,9,Conventional,"1,133",A,175,80,RESID-SINGLE FAMILY,Connected,"1,133",1,Central,,,,,2,A-2,,,
"9453 Nolin Orchard Ln, Loveland, OH 45140",3.0,2.5,2004.0,0.18608815426997244,13.560618308335483,3,14,Forced Air,2,,Good,Concrete,Brick,Masonry,Single Family,LEGACY ELLIOTT FRM4,"3,815","4,298",,,,Attached Garage,483,Attached,1,"8,107",179,,DEERFIELD TWP,0.1861,SINGLE FAMILY DWELLING,2022,,Full,,,,,,,,,,"1,516",,,,,Finished,,,,,,
"9351 Winding Ln, Loveland, OH 45140",3.0,1.0,1378.0,22000.0,12.2783933071098,1,5,Forced Air,,,Good,Concrete Block,Brick,Masonry,Single Family,MYRTLE BROOK,"1,378","1,378",1,1,MYRTLE BROOK LOT# 37,Detached Garage,720,Detached,1,"22,000",37,LOVELAND CITY,DEERFIELD TWP,0.5051,SINGLE FAMILY DWELLING,2022,KINGS LSD,Full,,,,,,220,100,,,,,,,,Finished,,,,,,
"6786 Spyglass Ln, Loveland, OH 45140",3.0,2.0,2590.0,0.2849862258953168,13.081541382884074,2,8,Central,1,Prefab,Average,,,Brick,Residential,RESERVE OASIS,"2,590","2,930",1,,THE RESERVE AT THE OASIS LOT 41,Masonry/Brick Garage,440,Masonry/Brick,1,"12,415",41,,MIAMI TWP,0.285,SINGLE FAMILY,2022,,Full,,7,Modern,"2,222",,,,,,340,,Central,Public,Public,,,,,,,
"9261 E Kemper Rd, Loveland, OH 45140",4.0,3.0,2808.0,0.5799816345270891,13.106233995474446,2,,,1,,Average,Concrete Block,Brick/Frame,Frame/Masonry,,COBBLESTONE SUB,"2,808","4,936",2,2,EAST KEMPER RD-WEATHERSTONE CT 146.16 X 216.61 IRRLOT 2 COBBLESTONE SUB,Attached Brick Garage,552,Attached Brick,1,"25,439",2,,SYMMES TOWNSHIP,0.584,SINGLE FAMILY,2022,,Partial,Gas,9,Conventional,"1,576",,216.61,146.16,RESID-SINGLE FAMILY,Connected,"1,576",1,Central,,,,,2,A,,,
"213 Oneida Dr, Loveland, OH 45140",3.0,1.0,925.0,0.193,12.154779351142624,1,,,1,,Good,Concrete,,Frame Siding,,LOVELAND HEIGHTS,925,925,1,1,ONEIDA DR 65.16X134.43 IRLOT 75 LOVELAND HGTS 1ST BLK A,,,,1,"8,407",75,,LOVELAND CITY,0.193,SINGLE FAMILY,2022,,Finished,Gas,5,Conventional,925,A,134.43,16,RESID-SINGLE FAMILY,Connected,,,Central,,,,,,,,,
"262 Glen Lake Rd, Loveland, OH 45140",4.0,4.0,3188.0,0.5700000000000001,13.180632285528304,2,,,1,,Average,,Brick,Frame/Masonry,,AT GLEN LAKES SUB,"3,188","5,250",2,2,GLEN LAKE RD 0.570 AC LOT 38 WOODRIDGE AT GLEN LAKES SUB,Attached Brick Garage,550,Attached Brick,1,"24,829",38,,LOVELAND CITY,0.57,SINGLE FAMILY,2022,,Full,Gas,10,Conventional,"1,548",,,,RESID-SINGLE FAMILY,Connected,"1,512",1,Central,,,,,2,,,,
"6605 Gingham Rd, Loveland, OH 45140",4.0,3.0,1912.0,0.2799999999999999,12.301382825334498,2,10,Central,1,Wood Stove,Average,,,Aluminum/Vinyl,Residential,SOUTHBROOK SEC 1,"1,912","1,912",1,,SOUTHBROOK LOT 41,Frame Garage,606,Frame,1,"12,362",41,,GOSHEN TWP,0.28,SINGLE FAMILY,2022,,Partial,Gas,8,Split Level,672,,,,,Available,576,1,Central,Public,Public,Finished,,,,,,
"3053 Stony Hollow Ct, Loveland, OH 45140",4.0,4.0,2032.0,0.12398989898989898,12.691580461311874,2,12,Forced Air,1,1 Opening,Very Good,Concrete,Frame,Aluminum/Vinyl,Single Family,STONY HOLLOW,"2,462","2,730",2,2,STONY HOLLOW LOT# 37,Attached Garage,400,Attached,1,"5,401",37,LOVELAND CITY,DEERFIELD TWP,0.124,SINGLE FAMILY DWELLING,2022,KINGS LSD,Full,,,,,,,,,,430,2,,,,Finished,Building,,,,,
"1315 Cross Creek Dr, Loveland, OH 45140",3.0,2.5,1552.0,0.2649908172635445,12.71589776896258,2,10,Central,1,Prefab,Average,,,Aluminum/Vinyl,Residential,TIMBER RIDGE SEC 4,"1,552","1,552",2,,TIMBER RIDGE SECTION 4 LOT 164,Frame Garage,399,Frame,1,"11,543",164,,GOSHEN TWP,0.265,SINGLE FAMILY,2022,,Full,,6,Colonial,776,,,,,,,1,Central,Public,Public,,,,,,,
"6667 State Route 48, Loveland, OH 45140",3.0,1.0,1316.0,1.6899908172635445,12.301382825334498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4103 Ironledge Ct, Loveland, OH 45140",3.0,2.0,1482.0,0.459,12.676076274775909,2,8,Central,,,Average,,,Aluminum/Vinyl,Residential,OBANNON CREEK,"1,482","1,482",1,,OBANNON CREEK BLOCK D LOT 109,Frame Garage,420,Frame,1,"19,994",109,,GOSHEN TWP,0.459,SINGLE FAMILY,2022,,,,6,Ranch,"1,482",D,,,,,,,Central,Public,Public,,,,,,,
"6316 Weber Woods Ct, Loveland, OH 45140",4.0,4.0,2484.0,0.461,13.38472764187182,2,8,Central,1,Prefab,Average,,,Brick,Residential,WEBER WOODS,"2,484","2,484",1,,WEBER WOODS LOT 11,Masonry/Brick Garage,738,Masonry/Brick,1,"20,081",11,,MIAMI TWP,0.461,SINGLE FAMILY,2022,,Full,,6,Ranch,"2,484",,,,,,,,Central,Public,Public,,,,,,,
"3985 Townsley Dr, Loveland, OH 45140",3.0,2.0,1739.0,0.5050505050505051,12.577636201962656,2,8,Heat Pump,1,1 Opening,Good,Concrete Block,Frame/Masonry,,Single Family,MYRTLE VILLAGE 2,"1,739","2,179",1,1,MYRTLE VILLAGE 2 #50,Attached Garage,440,Attached,1,"22,000",50,LOVELAND CITY,DEERFIELD TWP,0.5051,SINGLE FAMILY DWELLING,2022,KINGS LSD,Partial,,,,,,220,100,,,,1,,,,,,,,,,
"106 Laurel St, Loveland, OH 45140",3.0,1.0,1100.0,0.10599173553719009,12.128105698640447,1,5,Central,1,Wood Stove,Average,,,Aluminum/Vinyl,Residential,LOVELAND CITY,"1,100","1,100",1,,LOVELAND CITY HIGHLAND LOT 176,,,,1,"3,746",176,,LOVELAND CITY,0.086,SINGLE FAMILY,2022,,Full,Gas,6,Bungalow,660,,92,50,,Available,,,Central,Public,Public,,,,,,,
"224 Saddleback Dr, Loveland, OH 45140",4.0,3.0,2004.0,0.47,12.821258284620408,2,10,Central,1,Wood Stove,Average,,,Frame/Masonry,Residential,BARES RUN SEC B,"2,462","2,462",2,,LOVELAND CITY BARES RUN BLK B LOT 13,Masonry/Brick Garage,672,Masonry/Brick,1,"20,473",13,,LOVELAND CITY,0.47,SINGLE FAMILY,2022,,Full,Gas,9,Conventional,"1,092",B,,,,Available,,1,Central,Public,Public,,,,,,,
"106 Laurel St, Loveland, OH 45140",2.0,2.5,1133.0,0.09398530762167126,12.128105698640447,1,5,Central,1,Wood Stove,Average,,,Aluminum/Vinyl,Residential,LOVELAND CITY,"1,100","1,100",1,,LOVELAND CITY HIGHLAND LOT 176,,,,1,"3,746",176,,LOVELAND CITY,0.086,SINGLE FAMILY,2022,,Full,Gas,6,Bungalow,660,,92,50,,Available,,,Central,Public,Public,,,,,,,
"6667 Oakland Rd, Loveland, OH 45140",3.0,1.0,1316.0,1.69,12.301382825334498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1272 Hickory Woods Dr, Loveland, OH 45140",3.0,2.0,1964.0,1.087993572084481,12.793859310432293,2,8,Central,1,Wood Stove,Average,,,Frame,Residential,HICKORY WOODS,"1,964","2,636",2,,HICKORY WOODS A LOT 17,Frame Garage,552,Frame,1,"47,393",17,,MIAMI TWP,1.088,SINGLE FAMILY,2022,,Full,Gas,7,Contemporary,580,,,,,Available,672,,Central,Public,Public,,,,,,,
"6413 Charles Snider Rd, Loveland, OH 45140",3.0,1.0,1298.0,0.539,12.110524937518258,1,5,Central,1,Wood Stove,Average,,,Brick,Residential,ARLEY EDWARDS 3,"1,298","1,298",1,,ARLEY EDWARDS LOT 11,,,,1,"23,479",11,,GOSHEN TWP,0.539,SINGLE FAMILY,2022,,Crawl-Space,Wood,6,Ranch,"1,298",,,,,Available,,,Central,,,,,,,,,
"6905 Long Drive Ln, Loveland, OH 45140",5.0,5.0,3858.0,0.63,13.527828485512494,4,16,Central,1,Prefab,Average,,,Frame/Masonry,Residential,FAIRWAYS AT OBANNON CREEK SEC 4,"3,858","4,292",2,,FAIRWAYS AT OBANNON CREEK SECTION 4 LOT 89,Masonry/Brick Garage,737,Masonry/Brick,1,"27,443",89,,GOSHEN TWP,0.63,SINGLE FAMILY,2022,,Full,,10,Colonial,"1,338",,,,,,434,1,Central,,,,,,,,,
"9201 Gourmet Ln, Loveland, OH 45140",4.0,3.0,2655.0,0.379981634527089,12.980799813082541,2,,,1,,Average,Concrete Block,Brick,Frame/Masonry,,SYMMES TRACE SUB,"2,655","4,421",2,2,GOURMET LN 37.09 X 179.63IRR LOT 94 SYMMES TRACE SUB BLK A PART 1,Attached Brick Garage,528,Attached Brick,1,"16,901",94,,SYMMES TOWNSHIP,0.388,SINGLE FAMILY,2022,,Partial,Gas,10,Conventional,"1,494",A,179.63,37.09,RESID-SINGLE FAMILY,Connected,"1,238",1,Central,,,,,2,A-2,,,
"203 N Elm St, Loveland, OH 45140",3.0,1.0,1027.0,0.11499999999999999,12.2040706428595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1389 Teal Ct, Loveland, OH 45140",3.0,2.0,1240.0,0.459,12.524526376648708,2,8,Central,,,Average,,,Aluminum/Vinyl,Residential,PRAY 3,"1,240","1,240",1,,PRAY 3 LOT 5,Detached Frame Garage,676,Detached Frame,1,"19,994",5,,GOSHEN TWP,0.459,SINGLE FAMILY,2022,,Crawl-Space,,5,Ranch,952,,,,,Available,,,Central,Public,Public,,,,,,,
"610 Paxton Ave, Loveland, OH 45140",4.0,1.0,1138.0,0.179,12.180754837545884,1,5,Central,1,Wood Stove,Average,,,Frame,Residential,,"1,138","1,138",1,,LOVELAND CITY LAND,Frame Garage,180,Frame,1,"7,797",,,LOVELAND CITY,0.179,SINGLE FAMILY,2022,,Full,Gas,6,Cape Cod,684,,150,52,,Available,,,Central,Public,Public,,,2,,,,
"6471 Brittany Ln, Loveland, OH 45140",4.0,2.5,2002.0,0.9829889807162534,12.960331388155435,2,10,Central,1,Wood Stove,Average,,,Aluminum/Vinyl,Residential,MUELLER MEADOW SEC 5,"2,002","2,110",2,,MUELLER MEADOW SECTION V LOT 97,Frame Garage,600,Frame,1,"42,819",97,,MIAMI TWP,0.983,SINGLE FAMILY,2022,,Full,,6,Colonial,859,,,,,,108,1,Central,Public,Public,,,,,,,
"9247 McKinney Rd, Loveland, OH 45140",3.0,3.0,1903.0,0.9,12.779873068457553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"166 Pheasantlake Dr, Loveland, OH 45140",4.0,3.0,3074.0,0.453,13.279367126213993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2398 Lilac Rd, Loveland, OH 45140",2.0,1.0,750.0,0.2652,12.043553716032399,1,5,,,,Average,Concrete Block,Frame,Aluminum/Vinyl,Single Family,LOVELAND PARK,750,750,1,1,LOVELAND PARK #6453-6457,Detached Garage,416,Detached,1,"11,550",6453,LOVELAND CITY,DEERFIELD TWP,0.27,SINGLE FAMILY DWELLING,2022,KINGS LSD,,,,,,,,,,,,,,,,,,,,,,
"1218 Silvercreek Cir, Loveland, OH 45140",4.0,4.0,3921.0,0.5,13.363739696979598,2,12,Central,1,Wood Stove,Average,,,Brick,Residential,FAIRWAYS AT OBANNON CREEK SEC 1 BL B,"3,921","4,023",2,,FAIRWAYS AT O'BANNON CREEK SECTION I BLOCK B LOT 110,Masonry/Brick Garage,441,Masonry/Brick,1,"21,388",110,,GOSHEN TWP,0.491,SINGLE FAMILY,2022,,Full,,11,Colonial,"1,340",B,,,,,"1,002",2,Central,,,Finished,,,,,,
"1104 Oak Ridge Ct, Loveland, OH 45140",4.0,2.5,3162.0,0.4619834710743801,13.473020249017498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"713 Oskamp Dr, Loveland, OH 45140",3.0,2.0,986.0,19994.0,12.506177237980511,1,5,Central,,,Average,,,Brick,Residential,SUNDALE,986,986,1,,SUNDALE LOT 16,Masonry/Brick Garage,434,Masonry/Brick,1,"19,994",16,,MIAMI TWP,0.459,SINGLE FAMILY,2022,,Full,Gas,5,Ranch,986,,,,,Available,,,Central,,Public,,,,,,,
"101 Shingle Oak Dr, Loveland, OH 45140",4.0,2.5,2938.0,0.9619834710743802,12.57418196709457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6673 Skinner St, Loveland, OH 45140",1.0,1.0,848.0,0.4591368227731864,12.013700752882718,1,3,Central,,,Average,,,Aluminum/Vinyl,Residential,BRANCH HILL,848,848,2,,BRANCH HILL LOT 77,,,,1,"10,001",77,,MIAMI TWP,0.2296,SINGLE FAMILY,2022,,Crawl-Space,Oil,4,Old,384,,200,50,,Available,,,,,Public,,,,,,,
"209 Glen Lake Rd, Loveland, OH 45140",4.0,3.0,1836.0,0.23999081726354454,12.611537753638338,2,,,1,,Fair,Concrete Block,Brick,Frame/Masonry,,GLEN LAKE COMMUNITY SUB,"1,836","2,720",2,2,GLEN LAKE RD 68.84 X 150 IRR LOT 197 GLEN LAKE COMMUNITY SUB BLK A,Basement Garage,,Basement,1,"10,629",197,,LOVELAND CITY,0.244,SINGLE FAMILY,2022,,Full,Gas,8,Conventional,884,A,150,68.84,RESID-SINGLE FAMILY,Connected,884,1,Central,,,,,2,,,,
"9298 Gourmet Ln, Loveland, OH 45140",4.0,4.0,2442.0,0.488,12.994530005894443,2,,,1,,Good,,Brick,Frame/Masonry,,SYMMES TRACE SUB,"2,442","4,064",2,2,COR ENYART RD &amp; GOURMET LN 146.81 X 145 IRR LOT 47 SYMMES TRACE SUB BLK APART 1,Attached Brick Garage,480,Attached Brick,1,"21,257",47,,SYMMES TOWNSHIP,0.488,SINGLE FAMILY,2022,,Full,Gas,8,Conventional,"1,142",A,145,146.81,RESID-SINGLE FAMILY,Connected,"1,142",1,Central,,,,,2,A,,,
"322 Whispering Pines Dr, Loveland, OH 45140",4.0,3.5,5280.0,0.5352617079889808,13.51979631381523,3,13,Central,2,Wood Stove,Average,,,Brick,Residential,WHISPERING PINES,"5,158","5,884",2,,WHISPERING PINES LOT 21,Masonry/Brick Garage,840,Masonry/Brick,1,"23,174",21,,MIAMI TWP,0.532,SINGLE FAMILY,2022,,Full,Gas,11,Colonial,"1,352",,,,,Available,"1,926",1,Central,Public,Public,Finished,,,,,,
"6131 Weber Oaks Dr, Loveland, OH 45140",3.0,3.0,1767.0,0.181,12.675763725937609,2,10,Central,1,Wood Stove,Average,,,Aluminum/Vinyl,Residential,WEBER OAKS SEC 01,"1,767","2,199",2,,WEBER OAKS SECTION 1 LOT 19,Frame Garage,420,Frame,1,"7,884",19,,MIAMI TWP,0.181,SINGLE FAMILY,2022,,Full,,6,Conventional,336,,,,,,745,1,Central,Public,Public,Finished,,,,,,
"6967B Greenstone Trce, Loveland, OH 45140",3.0,2.5,2497.0,0.4589990817263544,12.736700896592344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9291 Shallow Creek Dr, Loveland, OH 45140",3.0,3.0,3916.0,0.4609963269054178,13.217673557208654,3,,,,,Average,,Brick,Brick,,SHALLOW CREEK ESTATES,"3,916","5,224",1,1,SHALLOW CREEK DRIVE 105.04 X 191.08 FT IRR LOT 7 SHALLOW CREEK,Attached Brick Garage,572,Attached Brick,1,"20,081",7,,SYMMES TOWNSHIP,0.461,SINGLE FAMILY,2022,,Full,Gas,8,Conventional,"2,326",,191.08,105.04,RESID-SINGLE FAMILY,Connected,"2,326",,Central,,,Finished,,2,A,,,
"9413 Carriage Run Cir, Loveland, OH 45140",3.0,2.0,2401.0,0.22540000000000002,12.86747112777554,2,8,Forced Air,1,1 Opening,Very Good,Concrete,Frame,Aluminum/Vinyl,Single Family,VILLHERITAGE GRNE,"1,831","2,231",1,1,VILL.HERITAGE GRN.E #175,Attached Garage,400,Attached,1,"9,818",175,LOVELAND CITY,DEERFIELD TWP,0.2254,SINGLE FAMILY DWELLING,2022,KINGS LSD,Full,,,,,,,,,,,1,,,,Finished,,,,,,
"18 Shadycrest Ln, Loveland, OH 45140",3.0,2.0,2223.0,0.6709825528007346,12.568630252627061,1,,,1,,Fair,Concrete Block,Brick,Brick,,SHADY CREST SUB,"2,223","3,848",1,1,SHADY CREST LN 79.18 X 173.46 IRR-LOT 4 SHADY CREST SUB,Attached Brick Garage,522,Attached Brick,1,"13,896",,,LOVELAND CITY,0.319,SINGLE FAMILY,2022,,Full,Gas,7,Conventional,"1,663",,173.46,79.18,RESID-SINGLE FAMILY,Connected,"1,663",1,Central,,,,,2,,,,
